task,item_id,question,total_cost,more,correct,intuitive,total_cost_money_fmt,more_money_fmt,correct_money_fmt,intuitive_money_fmt
crt1,35,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,510,500,$5.0,$10.0,$510.00,$500.00,$5.00,$10.00
crt1,36,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,37,A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,130,100,$15.0,$30.0,$130.00,$100.00,$15.00,$30.00
crt1,38,A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
crt1,39,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,5.20,5,$0.10,$0.20,$5.20,$5.00,$0.10,$0.20
crt1,40,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,5.20,5,$0.10,$0.20,$5.20,$5.00,$0.10,$0.20
crt1,41,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,42,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,130,100,$15.0,$30.0,$130.00,$100.00,$15.00,$30.00
crt1,43,A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,1.20,1,$0.10,$0.20,$1.20,$1.00,$0.10,$0.20
crt1,44,A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,45,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,1.30,1,$0.150,$0.30,$1.30,$1.00,$0.15,$0.30
crt1,46,A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,52,50,$1.0,$2.0,$52.00,$50.00,$1.00,$2.00
crt1,47,A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,48,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,53,50,$1.5,$3.0,$53.00,$50.00,$1.50,$3.00
crt1,49,A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,54,50,$2.0,$4.0,$54.00,$50.00,$2.00,$4.00
crt1,50,A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,13,10,$1.5,$3.0,$13.00,$10.00,$1.50,$3.00
